Cidade,Data,Precipitação,Pressão Atmosférica ao nível da estação,Pressão Atmosférica máxima,Pressão Atmosférica mínima,Radiação Global,Temperatura do ar - bulbo seco,Temperatura do ponto de orvalho,Temperatura máxima,Temperatura mínima,Temperatura orvalho máxima,Temperatura orvalho mínima,Umidade Relativa máxima,Umidade Relativa mínima,Umidade Relativa do Ar,Direção Horária do Vento,Rajada Máxima de Vento,Velocidade Horária do Vento
Dom Eliseu,2019-06-09 00:00:00+00:00,0.0,983.8886904761903,984.1208333333333,983.6488095238092,1673.9305882352933,26.29642857142857,21.484693877551017,26.900000000000006,25.723214285714285,21.812631578947368,21.04526315789474,77.80208333333333,72.4375,75.1938775510204,116.125,4.348809523809524,1.9922619047619055
Dom Eliseu,2019-06-16 00:00:00+00:00,0.0,984.0214285714295,984.2613095238102,983.7702380952384,1583.2249999999992,26.244047619047635,21.421656050955413,26.926190476190474,25.618452380952395,21.933757961783442,21.049044585987268,80.13836477987421,74.10691823899371,77.3375796178344,131.4702380952381,4.339880952380953,2.0250000000000012
Dom Eliseu,2019-06-23 00:00:00+00:00,0.0,985.4029761904761,985.6273809523807,985.1886904761906,1706.4904761904763,25.99821428571428,20.450641025641037,26.721428571428564,25.365476190476187,20.908860759493678,20.022784810126588,77.17610062893081,71.15723270440252,74.73076923076923,132.3154761904762,4.585119047619046,2.1589285714285715
Dom Eliseu,2019-06-30 00:00:00+00:00,0.0,983.2017857142862,983.4392857142861,982.9708333333338,1557.0149425287354,26.031547619047625,19.964052287581698,26.755357142857147,25.31547619047621,20.34901960784314,19.534640522875808,75.0632911392405,68.95569620253164,72.77777777777777,131.26190476190476,4.65059523809524,2.1761904761904765
Dom Eliseu,2019-07-07 00:00:00+00:00,0.0,983.3291666666664,983.5494047619047,983.0875000000001,1374.080459770115,25.93511904761905,21.263190184049073,26.614880952380958,25.29166666666665,21.586250000000014,20.82125,80.39024390243902,74.5609756097561,77.90184049079754,107.36904761904762,4.4261904761904765,1.9059523809523813
Dom Eliseu,2019-07-14 00:00:00+00:00,0.08452380952380951,984.4410714285716,984.7017857142861,984.2017857142855,1387.8010989010986,25.448809523809533,20.69141104294479,26.14345238095238,24.736904761904764,21.12356687898089,20.298089171974528,81.5126582278481,75.18354430379746,77.60736196319019,116.375,4.710714285714283,2.0529761904761896
Dom Eliseu,2019-07-21 00:00:00+00:00,0.03333333333333334,984.3714285714285,984.6202380952376,984.1190476190475,1370.744943820225,25.14880952380952,20.50122699386502,25.903571428571436,24.466071428571425,21.033749999999998,20.09000000000001,81.10365853658537,74.3780487804878,77.86503067484662,113.6547619047619,4.754166666666668,2.0410714285714286
Dom Eliseu,2019-07-28 00:00:00+00:00,0.0,984.0851190476195,984.3184523809529,983.8583333333338,1520.7406593406592,25.927380952380947,18.859627329192534,26.721428571428564,25.172619047619044,19.33580246913582,18.347530864197545,71.40243902439025,64.5609756097561,68.54658385093168,132.42857142857142,4.645238095238091,2.0940476190476196
Dom Eliseu,2019-08-04 00:00:00+00:00,0.0,983.689285714286,983.9422619047622,983.4238095238097,1392.8247191011233,26.200595238095236,20.222424242424232,26.96785714285715,25.44285714285713,20.66807228915663,19.794578313253005,75.55089820359281,68.9940119760479,72.49090909090908,116.21428571428571,4.263095238095237,1.8452380952380945
Dom Eliseu,2019-08-11 00:00:00+00:00,0.0,985.9904761904763,986.2333333333333,985.7404761904767,1557.1329670329667,26.374999999999993,17.98571428571428,27.217857142857156,25.56607142857144,18.48098159509202,17.43251533742331,66.42424242424242,59.39393939393939,63.453416149068325,131.92857142857142,5.193452380952379,2.323809523809522
