,Cidade,Data,Precipitação,Pressão Atmosférica ao nível da estação,Pressão Atmosférica máxima,Pressão Atmosférica mínima,Radiação Global,Temperatura do ar - bulbo seco,Temperatura do ponto de orvalho,Temperatura máxima,Temperatura mínima,Temperatura orvalho máxima,Temperatura orvalho mínima,Umidade Relativa máxima,Umidade Relativa mínima,Umidade Relativa do Ar,Direção Horária do Vento,Rajada Máxima de Vento,Velocidade Horária do Vento
750,NOVO REPARTIMENTO,2019-03-03 00:00:00+00:00,0.007142857142857143,1002.2309523809524,1002.5535714285718,1001.8982142857141,1059.5536842105262,25.005952380952376,20.460119047619052,25.451190476190476,24.606547619047618,20.93630952380952,20.024404761904766,79.74404761904762,74.67857142857143,77.26190476190476,,,
751,NOVO REPARTIMENTO,2019-03-10 00:00:00+00:00,0.009523809523809523,1002.1458333333337,1002.503571428572,1001.7964285714288,1162.4510416666667,25.616071428571438,20.70059523809523,26.04226190476191,25.200595238095225,21.22083333333334,20.229761904761904,78.61309523809524,73.82738095238095,76.20833333333333,,,
752,NOVO REPARTIMENTO,2019-03-17 00:00:00+00:00,0.008333333333333333,1000.9630952380949,1001.3202380952375,1000.592857142857,1250.0,25.849404761904754,20.694047619047616,26.32916666666665,25.39642857142857,21.23214285714286,20.202976190476186,77.55952380952381,72.41666666666667,75.05952380952381,,,
753,NOVO REPARTIMENTO,2019-03-24 00:00:00+00:00,0.008333333333333333,1001.3315476190479,1001.6761904761905,1000.9845238095238,1195.9208333333333,26.113690476190474,21.268452380952397,26.58928571428572,25.710714285714282,21.801190476190477,20.769642857142873,78.67857142857143,73.375,76.11904761904762,,,
754,NOVO REPARTIMENTO,2019-03-31 00:00:00+00:00,0.28452380952380957,1001.7000000000002,1002.0380952380956,1001.3571428571427,1070.7150537634407,25.89583333333334,21.498214285714294,26.308333333333355,25.544047619047607,21.96250000000001,21.060714285714283,80.22619047619048,75.58928571428571,78.0297619047619,,,
755,NOVO REPARTIMENTO,2019-04-07 00:00:00+00:00,0.6178571428571427,1001.7916666666669,1002.1101190476194,1001.4744047619047,1090.543010752688,25.62559523809524,21.247023809523817,25.899404761904766,25.364285714285725,21.68392857142858,20.7904761904762,80.23214285714286,75.53571428571429,77.9702380952381,,,
756,NOVO REPARTIMENTO,2019-04-14 00:00:00+00:00,1.017857142857143,1001.4166666666672,1001.7452380952384,1001.0744047619055,1027.397916666667,25.776785714285726,21.11666666666666,26.077380952380953,25.489285714285728,21.570833333333326,20.686309523809523,79.30952380952381,74.70238095238095,76.95238095238095,,,
757,NOVO REPARTIMENTO,2019-04-21 00:00:00+00:00,0.2559523809523811,1000.9309523809527,1001.2833333333341,1000.5863095238099,1274.52688172043,26.508333333333333,20.764285714285712,26.798809523809517,26.23154761904761,21.283333333333342,20.27797619047619,74.91666666666667,70.0297619047619,72.42857142857143,,,
758,NOVO REPARTIMENTO,2019-04-28 00:00:00+00:00,0.6202380952380954,1001.023214285714,1001.3678571428572,1000.6892857142855,1325.2890109890109,26.73273809523811,20.860714285714295,27.01666666666668,26.450595238095246,21.3202380952381,20.378571428571433,74.32142857142857,69.44642857142857,71.94047619047619,,,
759,NOVO REPARTIMENTO,2019-05-05 00:00:00+00:00,0.7535714285714288,1000.7267857142857,1001.0571428571426,1000.4136904761903,1296.566315789474,26.76726190476192,20.432738095238086,27.072023809523817,26.471428571428582,20.933333333333323,19.903571428571425,72.79761904761905,67.81547619047619,70.35119047619048,,,
760,NOVO REPARTIMENTO,2019-05-12 00:00:00+00:00,0.10357142857142856,1000.0202380952387,1000.2851190476193,999.7422619047627,1196.8695652173917,27.0422619047619,20.585714285714275,27.327976190476186,26.755357142857118,21.072023809523806,20.111309523809524,71.94642857142857,67.19047619047619,69.5297619047619,,,
761,NOVO REPARTIMENTO,2019-05-19 00:00:00+00:00,0.49285714285714294,1001.145238095238,1001.4571428571431,1000.8232142857142,1097.021111111111,26.623214285714294,20.67499999999999,26.907142857142865,26.352976190476202,21.134523809523802,20.269642857142856,73.98214285714286,69.45833333333333,71.63690476190476,,,
762,NOVO REPARTIMENTO,2019-05-26 00:00:00+00:00,0.3226190476190477,1000.729166666667,1001.0398809523807,1000.4291666666672,1310.7233333333334,27.007142857142856,20.29821428571428,27.342857142857127,26.666071428571428,20.76369047619049,19.845833333333335,71.21428571428571,66.55952380952381,68.82738095238095,,,
763,NOVO REPARTIMENTO,2019-06-02 00:00:00+00:00,0.034523809523809526,1000.695238095238,1000.9845238095232,1000.4160714285711,1344.4670329670325,27.7875,20.657142857142855,28.119047619047624,27.450595238095243,21.033333333333342,20.258928571428562,68.72619047619048,64.32142857142857,66.51190476190476,,,
